"","temp","year","doy"
"363",12.02,1910,76
"364",13.1,1910,105
"365",14.13,1910,138
"366",14.76,1910,167
"367",15.08,1910,197
"368",14.93,1910,229
"369",14.27,1910,259
"370",13.23,1910,288
"371",12,1910,321
"372",11.19,1910,350
"373",10.96,1911,14
"374",11.27,1911,47
"375",11.91,1911,76
"376",12.99,1911,105
"377",13.97,1911,138
"378",14.66,1911,167
"379",15.01,1911,197
"380",14.86,1911,229
"381",14.26,1911,259
"382",13.38,1911,288
"383",12.34,1911,321
"384",11.65,1911,350
"385",11.34,1912,14
"386",11.7,1912,47
"387",12.15,1912,76
"388",13.35,1912,105
"389",14.26,1912,138
"390",14.92,1912,167
"391",15,1912,197
"392",14.75,1912,229
"393",14.09,1912,259
"394",13.07,1912,288
"395",12.16,1912,321
"396",11.42,1912,350
"397",11.18,1913,14
"398",11.39,1913,47
"399",12.1,1913,76
"400",13.13,1913,105
"401",14.04,1913,138
"402",14.7,1913,167
"403",15.06,1913,197
"404",14.96,1913,229
"405",14.32,1913,259
"406",13.32,1913,288
"407",12.35,1913,321
"408",11.83,1913,350
"409",11.63,1914,14
"410",11.75,1914,47
"411",12.28,1914,76
"412",13.23,1914,105
"413",14.26,1914,138
"414",14.9,1914,167
"415",15.19,1914,197
"416",15.13,1914,229
"417",14.5,1914,259
"418",13.61,1914,288
"419",12.39,1914,321
"420",11.81,1914,350
"421",11.38,1915,14
"422",11.81,1915,47
"423",12.43,1915,76
"424",13.59,1915,105
"425",14.41,1915,138
"426",14.93,1915,167
"427",15.3,1915,197
"428",15.07,1915,229
"429",14.46,1915,259
"430",13.4,1915,288
"431",12.42,1915,321
"432",11.63,1915,350
"433",11.46,1916,14
"434",11.7,1916,47
"435",12.24,1916,76
"436",13.22,1916,105
"437",14.13,1916,138
"438",14.66,1916,167
"439",15.05,1916,197
"440",15.01,1916,229
"441",14.3,1916,259
"442",13.32,1916,288
"443",12.08,1916,321
"444",11.04,1916,350
"445",11.01,1917,14
"446",11.21,1917,47
"447",11.89,1917,76
"448",12.97,1917,105
"449",13.92,1917,138
"450",14.72,1917,167
"451",15.17,1917,197
"452",15.07,1917,229
"453",14.43,1917,259
"454",13.2,1917,288
"455",12.2,1917,321
"456",11.17,1917,350
"457",11.1,1918,14
"458",11.5,1918,47
"459",12.27,1918,76
"460",13.08,1918,105
"461",14.04,1918,138
"462",14.78,1918,167
"463",15.1,1918,197
"464",14.97,1918,229
"465",14.49,1918,259
"466",13.58,1918,288
"467",12.43,1918,321
"468",11.56,1918,350
"469",11.38,1919,14
"470",11.6,1919,47
"471",12.31,1919,76
"472",13.4,1919,105
"473",14.2,1919,138
"474",14.79,1919,167
"475",15.13,1919,197
"476",14.97,1919,229
"477",14.41,1919,259
"478",13.45,1919,288
"479",12.13,1919,321
"480",11.43,1919,350
"481",11.34,1920,14
"482",11.58,1920,47
"483",12.4,1920,76
"484",13.28,1920,105
"485",14.2,1920,138
"486",14.79,1920,167
"487",15.12,1920,197
"488",15.03,1920,229
"489",14.45,1920,259
"490",13.38,1920,288
"491",12.28,1920,321
"492",11.39,1920,350
"493",11.53,1921,14
"494",11.67,1921,47
"495",12.29,1921,76
"496",13.22,1921,105
"497",14.17,1921,138
"498",14.88,1921,167
"499",15.28,1921,197
"500",15.04,1921,229
"501",14.48,1921,259
"502",13.61,1921,288
"503",12.4,1921,321
"504",11.67,1921,350
"505",11.25,1922,14
"506",11.4,1922,47
"507",12.37,1922,76
"508",13.29,1922,105
"509",14.14,1922,138
"510",14.83,1922,167
"511",15.14,1922,197
"512",14.96,1922,229
"513",14.3,1922,259
"514",13.32,1922,288
"515",12.39,1922,321
"516",11.66,1922,350
"517",11.3,1923,14
"518",11.45,1923,47
"519",12.18,1923,76
"520",13.12,1923,105
"521",14.14,1923,138
"522",14.85,1923,167
"523",15.11,1923,197
"524",14.96,1923,229
"525",14.35,1923,259
"526",13.5,1923,288
"527",12.52,1923,321
"528",11.8,1923,350
"529",11.35,1924,14
"530",11.6,1924,47
"531",12.44,1924,76
"532",13.21,1924,105
"533",14.29,1924,138
"534",14.89,1924,167
"535",15.13,1924,197
"536",14.93,1924,229
"537",14.34,1924,259
"538",13.29,1924,288
"539",12.33,1924,321
"540",11.42,1924,350
"541",11.19,1925,14
"542",11.44,1925,47
"543",12.24,1925,76
"544",13.27,1925,105
"545",14.18,1925,138
"546",14.82,1925,167
"547",15.16,1925,197
"548",15.09,1925,229
"549",14.46,1925,259
"550",13.47,1925,288
"551",12.58,1925,321
"552",11.9,1925,350
"553",11.78,1926,14
"554",11.87,1926,47
"555",12.63,1926,76
"556",13.4,1926,105
"557",14.23,1926,138
"558",14.9,1926,167
"559",15.14,1926,197
"560",15.16,1926,229
"561",14.52,1926,259
"562",13.53,1926,288
"563",12.47,1926,321
"564",11.55,1926,350
"565",11.31,1927,14
"566",11.66,1927,47
"567",12.13,1927,76
"568",13.21,1927,105
"569",14.22,1927,138
"570",14.87,1927,167
"571",15.23,1927,197
"572",15.05,1927,229
"573",14.53,1927,259
"574",13.63,1927,288
"575",12.48,1927,321
"576",11.52,1927,350
"577",11.56,1928,14
"578",11.75,1928,47
"579",12.27,1928,76
"580",13.24,1928,105
"581",14.17,1928,138
"582",14.76,1928,167
"583",15.23,1928,197
"584",15.06,1928,229
"585",14.44,1928,259
"586",13.45,1928,288
"587",12.45,1928,321
"588",11.68,1928,350
"589",11.13,1929,14
"590",11.25,1929,47
"591",12.19,1929,76
"592",13.1,1929,105
"593",14.09,1929,138
"594",14.71,1929,167
"595",15.05,1929,197
"596",14.96,1929,229
"597",14.4,1929,259
"598",13.5,1929,288
"599",12.43,1929,321
"600",11.31,1929,350
"601",11.28,1930,14
"602",11.57,1930,47
"603",12.41,1930,76
"604",13.27,1930,105
"605",14.22,1930,138
"606",14.92,1930,167
"607",15.2,1930,197
"608",15.14,1930,229
"609",14.5,1930,259
"610",13.52,1930,288
"611",12.71,1930,321
"612",11.79,1930,350
"613",11.47,1931,14
"614",11.62,1931,47
"615",12.41,1931,76
"616",13.29,1931,105
"617",14.27,1931,138
"618",15.06,1931,167
"619",15.38,1931,197
"620",15.25,1931,229
"621",14.59,1931,259
"622",13.68,1931,288
"623",12.48,1931,321
"624",11.79,1931,350
"625",11.73,1932,14
"626",11.67,1932,47
"627",12.34,1932,76
"628",13.46,1932,105
"629",14.3,1932,138
"630",14.86,1932,167
"631",15.16,1932,197
"632",15.07,1932,229
"633",14.55,1932,259
"634",13.55,1932,288
"635",12.27,1932,321
"636",11.59,1932,350
"637",11.35,1933,14
"638",11.55,1933,47
"639",12.22,1933,76
"640",13.28,1933,105
"641",14.18,1933,138
"642",14.81,1933,167
"643",15.2,1933,197
"644",15.05,1933,229
"645",14.36,1933,259
"646",13.39,1933,288
"647",12.23,1933,321
"648",11.4,1933,350
"649",11.37,1934,14
"650",11.82,1934,47
"651",12.23,1934,76
"652",13.21,1934,105
"653",14.37,1934,138
"654",15,1934,167
"655",15.32,1934,197
"656",15.17,1934,229
"657",14.51,1934,259
"658",13.57,1934,288
"659",12.57,1934,321
"660",11.83,1934,350
"661",11.25,1935,14
"662",11.98,1935,47
"663",12.38,1935,76
"664",13.15,1935,105
"665",14.18,1935,138
"666",14.88,1935,167
"667",15.21,1935,197
"668",15.07,1935,229
"669",14.44,1935,259
"670",13.58,1935,288
"671",12.28,1935,321
"672",11.68,1935,350
"673",11.31,1936,14
"674",11.46,1936,47
"675",12.31,1936,76
"676",13.32,1936,105
"677",14.3,1936,138
"678",14.93,1936,167
"679",15.32,1936,197
"680",15.16,1936,229
"681",14.57,1936,259
"682",13.61,1936,288
"683",12.56,1936,321
"684",11.84,1936,350
"685",11.51,1937,14
"686",11.87,1937,47
"687",12.31,1937,76
"688",13.37,1937,105
"689",14.42,1937,138
"690",15.1,1937,167
"691",15.38,1937,197
"692",15.31,1937,229
"693",14.75,1937,259
"694",13.73,1937,288
"695",12.62,1937,321
"696",11.78,1937,350
"697",11.66,1938,14
"698",11.87,1938,47
"699",12.61,1938,76
"700",13.58,1938,105
"701",14.37,1938,138
"702",14.98,1938,167
"703",15.33,1938,197
"704",15.23,1938,229
"705",14.66,1938,259
"706",13.79,1938,288
"707",12.62,1938,321
"708",11.72,1938,350
"709",11.53,1939,14
"710",11.77,1939,47
"711",12.34,1939,76
"712",13.43,1939,105
"713",14.43,1939,138
"714",15.08,1939,167
"715",15.36,1939,197
"716",15.23,1939,229
"717",14.59,1939,259
"718",13.6,1939,288
"719",12.61,1939,321
"720",12.28,1939,350
"721",11.58,1940,14
"722",11.92,1940,47
"723",12.61,1940,76
"724",13.69,1940,105
"725",14.58,1940,138
"726",15.26,1940,167
"727",15.54,1940,197
"728",15.36,1940,229
"729",14.81,1940,259
"730",13.75,1940,288
"731",12.7,1940,321
"732",12.16,1940,350
"733",11.76,1941,14
"734",12.15,1941,47
"735",12.62,1941,76
"736",13.68,1941,105
"737",14.64,1941,138
"738",15.28,1941,167
"739",15.63,1941,197
"740",15.44,1941,229
"741",14.68,1941,259
"742",13.99,1941,288
"743",12.76,1941,321
